Games,host_city,host_city_en,host_country_modern,host_noc
1896 Summer,Athina,Athens,Greece,GRE
1900 Summer,Paris,Paris,France,FRA
1904 Summer,St. Louis,St. Louis,United States,USA
1906 Summer,Athina,Athens,Greece,GRE
1908 Summer,London,London,United Kingdom,GBR
1912 Summer,Stockholm,Stockholm,Sweden,SWE
1920 Summer,Antwerpen,Antwerp,Belgium,BEL
1924 Summer,Paris,Paris,France,FRA
1928 Summer,Amsterdam,Amsterdam,Netherlands,NED
1932 Summer,Los Angeles,Los Angeles,United States,USA
1936 Summer,Berlin,Berlin,Germany,GER
1948 Summer,London,London,United Kingdom,GBR
1952 Summer,Helsinki,Helsinki,Finland,FIN
1956 Summer,Melbourne,Melbourne,Australia,AUS
1960 Summer,Roma,Rome,Italy,ITA
1964 Summer,Tokyo,Tokyo,Japan,JPN
1968 Summer,Mexico City,Mexico City,Mexico,MEX
1972 Summer,Munich,Munich,Germany,FRG
1976 Summer,Montreal,Montreal,Canada,CAN
1980 Summer,Moskva,Moscow,Russia,URS
1984 Summer,Los Angeles,Los Angeles,United States,USA
1988 Summer,Seoul,Seoul,South Korea,KOR
1992 Summer,Barcelona,Barcelona,Spain,ESP
1996 Summer,Atlanta,Atlanta,United States,USA
2000 Summer,Sydney,Sydney,Australia,AUS
2004 Summer,Athina,Athens,Greece,GRE
2008 Summer,Beijing,Beijing,China,CHN
2012 Summer,London,London,United Kingdom,GBR
2016 Summer,Rio de Janeiro,Rio de Janeiro,Brazil,BRA
1924 Winter,Chamonix,Chamonix,France,FRA
1928 Winter,Sankt Moritz,St. Moritz,Switzerland,SUI
1932 Winter,Lake Placid,Lake Placid,United States,USA
1936 Winter,Garmisch-Partenkirchen,Garmisch-Partenkirchen,Germany,GER
1948 Winter,Sankt Moritz,St. Moritz,Switzerland,SUI
1952 Winter,Oslo,Oslo,Norway,NOR
1956 Winter,Cortina d'Ampezzo,Cortina d'Ampezzo,Italy,ITA
1960 Winter,Squaw Valley,Olympic Valley,United States,USA
1964 Winter,Innsbruck,Innsbruck,Austria,AUT
1968 Winter,Grenoble,Grenoble,France,FRA
1972 Winter,Sapporo,Sapporo,Japan,JPN
1976 Winter,Innsbruck,Innsbruck,Austria,AUT
1980 Winter,Lake Placid,Lake Placid,United States,USA
1984 Winter,Sarajevo,Sarajevo,Bosnia and Herzegovina,YUG
1988 Winter,Calgary,Calgary,Canada,CAN
1992 Winter,Albertville,Albertville,France,FRA
1994 Winter,Lillehammer,Lillehammer,Norway,NOR
1998 Winter,Nagano,Nagano,Japan,JPN
2002 Winter,Salt Lake City,Salt Lake City,United States,USA
2006 Winter,Torino,Turin,Italy,ITA
2010 Winter,Vancouver,Vancouver,Canada,CAN
2014 Winter,Sochi,Sochi,Russia,RUS
